epoch,train_loss,val_accuracy,val_macro_f1,val_pos_f1
1,1.0145855001347301,0.7723102585487907,0.5666408499652468,0.2680965147453083
2,0.9232587481530491,0.7531276063386155,0.6345385496214648,0.4263565891472868
3,0.8985174269933613,0.7789824854045038,0.6487955689227712,0.4349680170575693
4,0.8920432963877593,0.7656380316930775,0.6454965661718208,0.43912175648702595
5,0.8882959125812054,0.7764804003336113,0.6383514158375726,0.4148471615720524
6,0.8864515129946015,0.7689741451209341,0.6452954438412666,0.43584521384928715
7,0.8860372525792315,0.7723102585487907,0.6381931710034585,0.417910447761194
8,0.8840993617533703,0.7689741451209341,0.6398099074155412,0.42411642411642414
9,0.8839593078923187,0.7606338615512928,0.6379270978338526,0.42714570858283435
10,0.8831481051151922,0.7648040033361134,0.6405202769366856,0.4291497975708502
